Age group,Applicant type,Domicile,Gender,Reference point,Status,Year,Applicants
17 and under,All,All,All,JCQ+1,All,2012,9280
17 and under,All,All,All,1 day after SQA results day,All,2012,9280
17 and under,All,All,All,JCQ+2,All,2012,9280
17 and under,All,All,All,JCQ+3,All,2012,9280
17 and under,All,All,All,JCQ+4,All,2012,9280
17 and under,All,All,All,JCQ+5,All,2012,9250
17 and under,All,All,All,JCQ+6,All,2012,9240
17 and under,All,All,All,JCQ+7,All,2012,9230
17 and under,All,All,All,JCQ+8,All,2012,9230
17 and under,All,All,All,JCQ,All,2012,9270
17 and under,All,All,All,SQA results day,All,2012,9280
17 and under,All,All,All,JCQ+1,All,2013,9980
17 and under,All,All,All,1 day after SQA results day,All,2013,10010
17 and under,All,All,All,JCQ+2,All,2013,9980
17 and under,All,All,All,JCQ+3,All,2013,9980
17 and under,All,All,All,JCQ+4,All,2013,9970
17 and under,All,All,All,JCQ+5,All,2013,9960
17 and under,All,All,All,JCQ+6,All,2013,9950
17 and under,All,All,All,JCQ+7,All,2013,9940
17 and under,All,All,All,JCQ+8,All,2013,9930
17 and under,All,All,All,JCQ,All,2013,9990
17 and under,All,All,All,SQA results day,All,2013,10010
17 and under,All,All,All,JCQ+1,All,2014,11040
17 and under,All,All,All,1 day after SQA results day,All,2014,11060
17 and under,All,All,All,JCQ+2,All,2014,11040
17 and under,All,All,All,JCQ+3,All,2014,11040
17 and under,All,All,All,JCQ+4,All,2014,11020
17 and under,All,All,All,JCQ+5,All,2014,11010
17 and under,All,All,All,JCQ+6,All,2014,11010
17 and under,All,All,All,JCQ+7,All,2014,11000
17 and under,All,All,All,JCQ+8,All,2014,10990
17 and under,All,All,All,JCQ,All,2014,11040
17 and under,All,All,All,SQA results day,All,2014,11060
17 and under,All,All,All,JCQ+1,All,2015,11490
17 and under,All,All,All,1 day after SQA results day,All,2015,11510
17 and under,All,All,All,JCQ+2,All,2015,11490
17 and under,All,All,All,JCQ+3,All,2015,11480
17 and under,All,All,All,JCQ+4,All,2015,11480
17 and under,All,All,All,JCQ+5,All,2015,11480
17 and under,All,All,All,JCQ+6,All,2015,11460
17 and under,All,All,All,JCQ+7,All,2015,11440
17 and under,All,All,All,JCQ+8,All,2015,11430
17 and under,All,All,All,JCQ,All,2015,11490
17 and under,All,All,All,SQA results day,All,2015,11520
17 and under,All,All,All,JCQ+1,All,2016,11870
17 and under,All,All,All,1 day after SQA results day,All,2016,11890
17 and under,All,All,All,JCQ+2,All,2016,11860
17 and under,All,All,All,JCQ+3,All,2016,11860
17 and under,All,All,All,JCQ+4,All,2016,11860
17 and under,All,All,All,JCQ+5,All,2016,11840
17 and under,All,All,All,JCQ+6,All,2016,11820
17 and under,All,All,All,JCQ+7,All,2016,11820
17 and under,All,All,All,JCQ+8,All,2016,11800
17 and under,All,All,All,JCQ,All,2016,11880
17 and under,All,All,All,SQA results day,All,2016,11900
17 and under,All,All,All,JCQ+1,All,2017,12410
17 and under,All,All,All,1 day after SQA results day,All,2017,12410
17 and under,All,All,All,JCQ+2,All,2017,12390
17 and under,All,All,All,JCQ+3,All,2017,12400
17 and under,All,All,All,JCQ+4,All,2017,12400
17 and under,All,All,All,JCQ+5,All,2017,12390
17 and under,All,All,All,JCQ+6,All,2017,12380
17 and under,All,All,All,JCQ+7,All,2017,12370
17 and under,All,All,All,JCQ+8,All,2017,12370
17 and under,All,All,All,JCQ,All,2017,12410
17 and under,All,All,All,SQA results day,All,2017,12410
17 and under,All,All,All,JCQ+1,All,2018,13740
17 and under,All,All,All,1 day after SQA results day,All,2018,13780
17 and under,All,All,All,JCQ+2,All,2018,13730
17 and under,All,All,All,JCQ+3,All,2018,13720
17 and under,All,All,All,JCQ+4,All,2018,13720
17 and under,All,All,All,JCQ+5,All,2018,13720
17 and under,All,All,All,JCQ+6,All,2018,13710
17 and under,All,All,All,JCQ+7,All,2018,13700
17 and under,All,All,All,JCQ+8,All,2018,13690
17 and under,All,All,All,JCQ,All,2018,13750
17 and under,All,All,All,SQA results day,All,2018,13780
17 and under,All,All,All,JCQ+1,All,2019,13640
17 and under,All,All,All,1 day after SQA results day,All,2019,13640
17 and under,All,All,All,JCQ+2,All,2019,13640
17 and under,All,All,All,JCQ+3,All,2019,13630
17 and under,All,All,All,JCQ+4,All,2019,13640
17 and under,All,All,All,JCQ+5,All,2019,13630
17 and under,All,All,All,JCQ+6,All,2019,13610
17 and under,All,All,All,JCQ+7,All,2019,13610
17 and under,All,All,All,JCQ+8,All,2019,13610
17 and under,All,All,All,JCQ,All,2019,13650
17 and under,All,All,All,SQA results day,All,2019,13640
17 and under,All,All,All,JCQ+1,All,2020,15330
17 and under,All,All,All,1 day after SQA results day,All,2020,15300
17 and under,All,All,All,JCQ+2,All,2020,15340
17 and under,All,All,All,JCQ+3,All,2020,15340
17 and under,All,All,All,JCQ+4,All,2020,15340
17 and under,All,All,All,JCQ+5,All,2020,15350
17 and under,All,All,All,JCQ+6,All,2020,15350
17 and under,All,All,All,JCQ+7,All,2020,15370
17 and under,All,All,All,JCQ+8,All,2020,15380
17 and under,All,All,All,JCQ,All,2020,15340
17 and under,All,All,All,SQA results day,All,2020,15300
17 and under,All,All,All,JCQ+1,All,2021,15270
17 and under,All,All,All,1 day after SQA results day,All,2021,15270
17 and under,All,All,All,JCQ+2,All,2021,15260
17 and under,All,All,All,JCQ+3,All,2021,15270
17 and under,All,All,All,JCQ+4,All,2021,15270
17 and under,All,All,All,JCQ+5,All,2021,15270
17 and under,All,All,All,JCQ+6,All,2021,15270
17 and under,All,All,All,JCQ+7,All,2021,15270
17 and under,All,All,All,JCQ+8,All,2021,15270
17 and under,All,All,All,JCQ,All,2021,15270
17 and under,All,All,All,SQA results day,All,2021,15270
18,All,All,All,JCQ+1,All,2012,286290
18,All,All,All,1 day after SQA results day,All,2012,286560
18,All,All,All,JCQ+2,All,2012,286290
18,All,All,All,JCQ+3,All,2012,286290
18,All,All,All,JCQ+4,All,2012,286110
18,All,All,All,JCQ+5,All,2012,285840
18,All,All,All,JCQ+6,All,2012,285640
18,All,All,All,JCQ+7,All,2012,285360
18,All,All,All,JCQ+8,All,2012,285130
18,All,All,All,JCQ,All,2012,286430
18,All,All,All,SQA results day,All,2012,286610
18,All,All,All,JCQ+1,All,2013,291980
18,All,All,All,1 day after SQA results day,All,2013,292220
18,All,All,All,JCQ+2,All,2013,291980
18,All,All,All,JCQ+3,All,2013,291980
18,All,All,All,JCQ+4,All,2013,291830
18,All,All,All,JCQ+5,All,2013,291630
18,All,All,All,JCQ+6,All,2013,291380
18,All,All,All,JCQ+7,All,2013,291160
18,All,All,All,JCQ+8,All,2013,290990
18,All,All,All,JCQ,All,2013,292090
18,All,All,All,SQA results day,All,2013,292260
18,All,All,All,JCQ+1,All,2014,301810
18,All,All,All,1 day after SQA results day,All,2014,302010
18,All,All,All,JCQ+2,All,2014,301810
18,All,All,All,JCQ+3,All,2014,301810
18,All,All,All,JCQ+4,All,2014,301800
18,All,All,All,JCQ+5,All,2014,301640
18,All,All,All,JCQ+6,All,2014,301450
18,All,All,All,JCQ+7,All,2014,301310
18,All,All,All,JCQ+8,All,2014,301170
18,All,All,All,JCQ,All,2014,301900
18,All,All,All,SQA results day,All,2014,302060
18,All,All,All,JCQ+1,All,2015,315090
18,All,All,All,1 day after SQA results day,All,2015,315440
18,All,All,All,JCQ+2,All,2015,314990
18,All,All,All,JCQ+3,All,2015,314960
18,All,All,All,JCQ+4,All,2015,314950
18,All,All,All,JCQ+5,All,2015,314770
18,All,All,All,JCQ+6,All,2015,314610
18,All,All,All,JCQ+7,All,2015,314430
18,All,All,All,JCQ+8,All,2015,314280
18,All,All,All,JCQ,All,2015,315310
18,All,All,All,SQA results day,All,2015,315510
18,All,All,All,JCQ+1,All,2016,318240
18,All,All,All,1 day after SQA results day,All,2016,318600
18,All,All,All,JCQ+2,All,2016,318140
18,All,All,All,JCQ+3,All,2016,318140
18,All,All,All,JCQ+4,All,2016,318130
18,All,All,All,JCQ+5,All,2016,317900
18,All,All,All,JCQ+6,All,2016,317640
18,All,All,All,JCQ+7,All,2016,317410
18,All,All,All,JCQ+8,All,2016,317130
18,All,All,All,JCQ,All,2016,318460
18,All,All,All,SQA results day,All,2016,318680
18,All,All,All,JCQ+1,All,2017,319800
18,All,All,All,1 day after SQA results day,All,2017,320020
18,All,All,All,JCQ+2,All,2017,319770
18,All,All,All,JCQ+3,All,2017,319720
18,All,All,All,JCQ+4,All,2017,319700
18,All,All,All,JCQ+5,All,2017,319500
18,All,All,All,JCQ+6,All,2017,319250
18,All,All,All,JCQ+7,All,2017,319020
18,All,All,All,JCQ+8,All,2017,318760
18,All,All,All,JCQ,All,2017,319880
18,All,All,All,SQA results day,All,2017,320080
18,All,All,All,JCQ+1,All,2018,319210
18,All,All,All,1 day after SQA results day,All,2018,319540
18,All,All,All,JCQ+2,All,2018,319110
18,All,All,All,JCQ+3,All,2018,318990
18,All,All,All,JCQ+4,All,2018,318940
18,All,All,All,JCQ+5,All,2018,318740
18,All,All,All,JCQ+6,All,2018,318470
18,All,All,All,JCQ+7,All,2018,318200
18,All,All,All,JCQ+8,All,2018,317990
18,All,All,All,JCQ,All,2018,319370
18,All,All,All,SQA results day,All,2018,319600
18,All,All,All,JCQ+1,All,2019,326400
18,All,All,All,1 day after SQA results day,All,2019,326360
18,All,All,All,JCQ+2,All,2019,326490
18,All,All,All,JCQ+3,All,2019,326470
18,All,All,All,JCQ+4,All,2019,326440
18,All,All,All,JCQ+5,All,2019,326400
18,All,All,All,JCQ+6,All,2019,326340
18,All,All,All,JCQ+7,All,2019,326260
18,All,All,All,JCQ+8,All,2019,326220
18,All,All,All,JCQ,All,2019,326360
18,All,All,All,SQA results day,All,2019,326400
18,All,All,All,JCQ+1,All,2020,337420
18,All,All,All,1 day after SQA results day,All,2020,336790
18,All,All,All,JCQ+2,All,2020,337650
18,All,All,All,JCQ+3,All,2020,337700
18,All,All,All,JCQ+4,All,2020,337720
18,All,All,All,JCQ+5,All,2020,337880
18,All,All,All,JCQ+6,All,2020,338000
18,All,All,All,JCQ+7,All,2020,338090
18,All,All,All,JCQ+8,All,2020,338170
18,All,All,All,JCQ,All,2020,337170
18,All,All,All,SQA results day,All,2020,336780
18,All,All,All,JCQ+1,All,2021,366140
18,All,All,All,1 day after SQA results day,All,2021,366140
18,All,All,All,JCQ+2,All,2021,365980
18,All,All,All,JCQ+3,All,2021,365920
18,All,All,All,JCQ+4,All,2021,365880
18,All,All,All,JCQ+5,All,2021,365860
18,All,All,All,JCQ+6,All,2021,365850
18,All,All,All,JCQ+7,All,2021,365750
18,All,All,All,JCQ+8,All,2021,365650
18,All,All,All,JCQ,All,2021,366100
18,All,All,All,SQA results day,All,2021,366100
19,All,All,All,JCQ+1,All,2012,116920
19,All,All,All,1 day after SQA results day,All,2012,116600
19,All,All,All,JCQ+2,All,2012,116920
19,All,All,All,JCQ+3,All,2012,116920
19,All,All,All,JCQ+4,All,2012,117070
19,All,All,All,JCQ+5,All,2012,117080
19,All,All,All,JCQ+6,All,2012,117130
19,All,All,All,JCQ+7,All,2012,117140
19,All,All,All,JCQ+8,All,2012,117140
19,All,All,All,JCQ,All,2012,116850
19,All,All,All,SQA results day,All,2012,116600
19,All,All,All,JCQ+1,All,2013,128680
19,All,All,All,1 day after SQA results day,All,2013,128120
19,All,All,All,JCQ+2,All,2013,128680
19,All,All,All,JCQ+3,All,2013,128680
19,All,All,All,JCQ+4,All,2013,128890
19,All,All,All,JCQ+5,All,2013,128920
19,All,All,All,JCQ+6,All,2013,128970
19,All,All,All,JCQ+7,All,2013,128980
19,All,All,All,JCQ+8,All,2013,129020
19,All,All,All,JCQ,All,2013,128460
19,All,All,All,SQA results day,All,2013,128110
19,All,All,All,JCQ+1,All,2014,132380
19,All,All,All,1 day after SQA results day,All,2014,131920
19,All,All,All,JCQ+2,All,2014,132380
19,All,All,All,JCQ+3,All,2014,132380
19,All,All,All,JCQ+4,All,2014,132580
19,All,All,All,JCQ+5,All,2014,132640
19,All,All,All,JCQ+6,All,2014,132680
19,All,All,All,JCQ+7,All,2014,132690
19,All,All,All,JCQ+8,All,2014,132690
19,All,All,All,JCQ,All,2014,132250
19,All,All,All,SQA results day,All,2014,131910
19,All,All,All,JCQ+1,All,2015,134860
19,All,All,All,1 day after SQA results day,All,2015,134290
19,All,All,All,JCQ+2,All,2015,135040
19,All,All,All,JCQ+3,All,2015,135080
19,All,All,All,JCQ+4,All,2015,135100
19,All,All,All,JCQ+5,All,2015,135160
19,All,All,All,JCQ+6,All,2015,135190
19,All,All,All,JCQ+7,All,2015,135180
19,All,All,All,JCQ+8,All,2015,135200
19,All,All,All,JCQ,All,2015,134690
19,All,All,All,SQA results day,All,2015,134260
19,All,All,All,JCQ+1,All,2016,135930
19,All,All,All,1 day after SQA results day,All,2016,135350
19,All,All,All,JCQ+2,All,2016,136020
19,All,All,All,JCQ+3,All,2016,136070
19,All,All,All,JCQ+4,All,2016,136090
19,All,All,All,JCQ+5,All,2016,136150
19,All,All,All,JCQ+6,All,2016,136150
19,All,All,All,JCQ+7,All,2016,136180
19,All,All,All,JCQ+8,All,2016,136160
19,All,All,All,JCQ,All,2016,135700
19,All,All,All,SQA results day,All,2016,135340
19,All,All,All,JCQ+1,All,2017,129030
19,All,All,All,1 day after SQA results day,All,2017,128370
19,All,All,All,JCQ+2,All,2017,129220
19,All,All,All,JCQ+3,All,2017,129260
19,All,All,All,JCQ+4,All,2017,129300
19,All,All,All,JCQ+5,All,2017,129360
19,All,All,All,JCQ+6,All,2017,129390
19,All,All,All,JCQ+7,All,2017,129410
19,All,All,All,JCQ+8,All,2017,129450
19,All,All,All,JCQ,All,2017,128740
19,All,All,All,SQA results day,All,2017,128320
19,All,All,All,JCQ+1,All,2018,124730
19,All,All,All,1 day after SQA results day,All,2018,123960
19,All,All,All,JCQ+2,All,2018,124880
19,All,All,All,JCQ+3,All,2018,124930
19,All,All,All,JCQ+4,All,2018,124980
19,All,All,All,JCQ+5,All,2018,125060
19,All,All,All,JCQ+6,All,2018,125090
19,All,All,All,JCQ+7,All,2018,125080
19,All,All,All,JCQ+8,All,2018,125090
19,All,All,All,JCQ,All,2018,124400
19,All,All,All,SQA results day,All,2018,123910
19,All,All,All,JCQ+1,All,2019,124410
19,All,All,All,1 day after SQA results day,All,2019,123560
19,All,All,All,JCQ+2,All,2019,124660
19,All,All,All,JCQ+3,All,2019,124730
19,All,All,All,JCQ+4,All,2019,124770
19,All,All,All,JCQ+5,All,2019,124880
19,All,All,All,JCQ+6,All,2019,124970
19,All,All,All,JCQ+7,All,2019,125030
19,All,All,All,JCQ+8,All,2019,125060
19,All,All,All,JCQ,All,2019,124030
19,All,All,All,SQA results day,All,2019,123510
19,All,All,All,JCQ+1,All,2020,121320
19,All,All,All,1 day after SQA results day,All,2020,120350
19,All,All,All,JCQ+2,All,2020,121590
19,All,All,All,JCQ+3,All,2020,121680
19,All,All,All,JCQ+4,All,2020,121710
19,All,All,All,JCQ+5,All,2020,121870
19,All,All,All,JCQ+6,All,2020,122020
19,All,All,All,JCQ+7,All,2020,122140
19,All,All,All,JCQ+8,All,2020,122250
19,All,All,All,JCQ,All,2020,120980
19,All,All,All,SQA results day,All,2020,120290
19,All,All,All,JCQ+1,All,2021,112500
19,All,All,All,1 day after SQA results day,All,2021,112500
19,All,All,All,JCQ+2,All,2021,112640
19,All,All,All,JCQ+3,All,2021,112750
19,All,All,All,JCQ+4,All,2021,112810
19,All,All,All,JCQ+5,All,2021,112820
19,All,All,All,JCQ+6,All,2021,112840
19,All,All,All,JCQ+7,All,2021,112930
19,All,All,All,JCQ+8,All,2021,112990
19,All,All,All,JCQ,All,2021,112270
19,All,All,All,SQA results day,All,2021,112270
20,All,All,All,JCQ+1,All,2012,50490
20,All,All,All,1 day after SQA results day,All,2012,50070
20,All,All,All,JCQ+2,All,2012,50490
20,All,All,All,JCQ+3,All,2012,50490
20,All,All,All,JCQ+4,All,2012,50670
18,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2016,50
18,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2016,30
18,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2016,20
18,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2017,70
18,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2017,30
18,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2017,30
18,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2018,90
18,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2018,50
18,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2018,40
18,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2019,80
18,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2019,40
18,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2019,40
18,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2020,100
18,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2020,70
18,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2020,40
18,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2021,50
18,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2021,30
18,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2021,20
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2012,70
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2012,40
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2012,20
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2013,60
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2013,40
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2013,20
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2014,70
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2014,40
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2014,20
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2015,80
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2015,50
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2015,40
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2016,80
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2016,40
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2016,30
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2017,80
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2017,40
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2017,40
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2018,100
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2018,50
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2018,50
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2019,100
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2019,40
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2019,60
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2020,130
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2020,80
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2020,50
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2021,40
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2021,30
19,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2021,10
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2012,50
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2012,30
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2012,20
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2013,60
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2013,40
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2013,20
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2014,50
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2014,30
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2014,10
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2015,50
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2015,30
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2015,10
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2016,50
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2016,20
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2016,30
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2017,60
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2017,30
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2017,30
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2018,70
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2018,30
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2018,30
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2019,70
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2019,40
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2019,30
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2020,80
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2020,60
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2020,20
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2021,30
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2021,20
20,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2021,10
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2012,70
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2012,50
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2012,20
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2013,60
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2013,40
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2013,20
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2014,60
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2014,40
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2014,20
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2015,80
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2015,50
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2015,30
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2016,70
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2016,50
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2016,30
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2017,70
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2017,40
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2017,20
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2018,80
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2018,50
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2018,30
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2019,90
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2019,50
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2019,40
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2020,110
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2020,70
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2020,40
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2021,40
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2021,20
21-24,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2021,20
25-29,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2012,20
25-29,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2012,10
25-29,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2013,30
25-29,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2013,20
25-29,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2013,10
25-29,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2014,20
25-29,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2014,20
25-29,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2015,20
25-29,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2015,10
25-29,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2015,10
25-29,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2016,30
25-29,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2016,20
25-29,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2017,20
25-29,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2017,10
25-29,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2017,10
25-29,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2018,20
25-29,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2018,20
25-29,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2018,10
25-29,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2019,20
25-29,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2019,20
25-29,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2019,10
25-29,Direct to Clearing,EU (excluding UK),Women,JCQ+6,All,2020,40
25-29,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Other (Direct to Clearing),2020,30
25-29,Direct to Clearing,EU (excluding UK),Women,JCQ+6,Placed (Direct to Clearing),2020,10
