MSA,Metric,Total,Occupied,Vacant
"Boise City, ID",Margin of Error,"1,522","2,929","2,679"
"Boston-Cambridge-Newton, MA-NH",Estimate,"2,064,220","1,948,354","115,866"
"Boston-Cambridge-Newton, MA-NH",Margin of Error,545,"6,735","6,778"
"Boulder, CO",Estimate,"144,419","137,786","6,633"
"Boulder, CO",Margin of Error,122,"1,436","1,424"
"Bowling Green, KY",Estimate,"80,690","72,037","8,653"
"Bowling Green, KY",Margin of Error,"1,428","2,156","2,112"
"Bremerton-Silverdale-Port Orchard, WA",Estimate,"117,020","109,245","7,775"
"Bremerton-Silverdale-Port Orchard, WA",Margin of Error,170,"1,987","1,970"
"Bridgeport-Stamford-Norwalk, CT",Estimate,"380,797","357,412","23,385"
"Bridgeport-Stamford-Norwalk, CT",Margin of Error,"1,900","3,314","3,059"
"Brownsville-Harlingen, TX",Estimate,"159,560","137,982","21,578"
"Brownsville-Harlingen, TX",Margin of Error,42,"2,500","2,506"
"Brunswick, GA",Estimate,"58,381","47,874","10,507"
"Brunswick, GA",Margin of Error,"1,612","1,719","1,707"
"Buffalo-Cheektowaga, NY",Estimate,"541,766","505,423","36,343"
"Buffalo-Cheektowaga, NY",Margin of Error,393,"3,540","3,512"
"Burlington, NC",Estimate,"77,336","70,125","7,211"
"Burlington, NC",Margin of Error,128,"1,556","1,576"
"Burlington-South Burlington, VT",Estimate,"103,501","97,271","6,230"
"Burlington-South Burlington, VT",Margin of Error,539,"1,306","1,239"
"California-Lexington Park, MD",Estimate,"46,481","44,392","2,089"
"California-Lexington Park, MD",Margin of Error,53,970,972
"Canton-Massillon, OH",Estimate,"181,395","166,456","14,939"
"Canton-Massillon, OH",Margin of Error,105,"2,309","2,302"
"Cape Coral-Fort Myers, FL",Estimate,"442,078","339,269","102,809"
"Cape Coral-Fort Myers, FL",Margin of Error,151,"6,414","6,414"
"Cape Girardeau, MO-IL",Estimate,"43,706","38,568","5,138"
"Cape Girardeau, MO-IL",Margin of Error,"1,000","1,384","1,231"
"Carbondale-Marion, IL",Estimate,"65,310","56,716","8,594"
"Carbondale-Marion, IL",Margin of Error,423,"1,661","1,640"
"Carson City, NV",Estimate,"25,202","23,205","1,997"
"Carson City, NV",Margin of Error,85,842,823
"Casper, WY",Estimate,"37,315","33,474","3,841"
"Casper, WY",Margin of Error,54,"1,591","1,601"
"Cedar Rapids, IA",Estimate,"122,692","113,649","9,043"
"Cedar Rapids, IA",Margin of Error,186,"1,724","1,740"
"Chambersburg-Waynesboro, PA",Estimate,"67,077","64,960","2,117"
"Chambersburg-Waynesboro, PA",Margin of Error,88,843,843
"Champaign-Urbana, IL",Estimate,"102,638","91,682","10,956"
"Champaign-Urbana, IL",Margin of Error,201,"1,640","1,653"
"Charleston, WV",Estimate,"125,975","107,179","18,796"
"Charleston, WV",Margin of Error,"1,652","2,864","2,735"
"Charleston-North Charleston, SC",Estimate,"378,136","338,067","40,069"
"Charleston-North Charleston, SC",Margin of Error,209,"4,088","4,093"
"Charlotte-Concord-Gastonia, NC-SC",Estimate,"1,166,880","1,085,889","80,991"
"Charlotte-Concord-Gastonia, NC-SC",Margin of Error,"1,486","5,509","5,556"
"Charlottesville, VA",Estimate,"99,500","90,108","9,392"
"Charlottesville, VA",Margin of Error,"1,708","1,991","1,835"
"Chattanooga, TN-GA",Estimate,"254,598","231,091","23,507"
"Chattanooga, TN-GA",Margin of Error,"1,324","3,138","3,125"
"Cheyenne, WY",Estimate,"45,553","42,559","2,994"
"Cheyenne, WY",Margin of Error,36,"1,241","1,244"
"Chicago-Naperville-Elgin, IL-IN-WI",Estimate,"3,968,906","3,726,266","242,640"
"Chicago-Naperville-Elgin, IL-IN-WI",Margin of Error,"1,039","9,113","9,268"
"Chico, CA",Estimate,"92,362","82,494","9,868"
"Chico, CA",Margin of Error,77,"1,812","1,826"
"Cincinnati, OH-KY-IN",Estimate,"972,817","916,246","56,571"
"Cincinnati, OH-KY-IN",Margin of Error,"1,619","5,503","5,501"
"Clarksville, TN-KY",Estimate,"137,995","127,103","10,892"
"Clarksville, TN-KY",Margin of Error,"1,116","2,035","1,794"
"Cleveland, TN",Estimate,"54,293","49,379","4,914"
"Cleveland, TN",Margin of Error,943,"1,618","1,484"
"Cleveland-Elyria, OH",Estimate,"972,047","891,430","80,617"
"Cleveland-Elyria, OH",Margin of Error,629,"4,832","4,787"
"Coeur d'Alene, ID",Estimate,"80,683","71,309","9,374"
"Coeur d'Alene, ID",Margin of Error,117,"1,921","1,910"
"College Station-Bryan, TX",Estimate,"120,169","109,360","10,809"
"College Station-Bryan, TX",Margin of Error,"1,562","2,253","1,980"
"Colorado Springs, CO",Estimate,"318,557","306,162","12,395"
"Colorado Springs, CO",Margin of Error,"1,009","2,148","1,931"
"Columbia, MO",Estimate,"93,969","87,953","6,016"
"Columbia, MO",Margin of Error,849,"1,805","1,649"
"Columbia, SC",Estimate,"376,753","339,602","37,151"
"Columbia, SC",Margin of Error,"1,377","3,747","3,642"
"Columbus, GA-AL",Estimate,"144,899","125,934","18,965"
"Columbus, GA-AL",Margin of Error,"1,331","2,559","2,508"
"Columbus, IN",Estimate,"35,699","34,436","1,263"
"Columbus, IN",Margin of Error,26,750,749
"Columbus, OH",Estimate,"926,137","864,711","61,426"
"Columbus, OH",Margin of Error,368,"4,583","4,500"
"Corpus Christi, TX",Estimate,"185,135","156,365","28,770"
"Corpus Christi, TX",Margin of Error,119,"2,790","2,799"
"Corvallis, OR",Estimate,"40,944","38,831","2,113"
"Corvallis, OR",Margin of Error,53,796,811
"Crestview-Fort Walton Beach-Destin, FL",Estimate,"164,572","123,619","40,953"
"Crestview-Fort Walton Beach-Destin, FL",Margin of Error,110,"3,627","3,677"
"Cumberland, MD-WV",Estimate,"45,262","36,953","8,309"
"Cumberland, MD-WV",Margin of Error,103,"1,666","1,657"
"Dallas-Fort Worth-Arlington, TX",Estimate,"3,096,485","2,908,436","188,049"
"Dallas-Fort Worth-Arlington, TX",Margin of Error,670,"8,784","8,979"
"Dalton, GA",Estimate,"56,174","51,845","4,329"
"Dalton, GA",Margin of Error,45,"1,250","1,264"
"Danville, IL",Estimate,"34,300","30,967","3,333"
"Danville, IL",Margin of Error,72,943,943
"Daphne-Fairhope-Foley, AL",Estimate,"132,299","98,854","33,445"
"Daphne-Fairhope-Foley, AL",Margin of Error,185,"3,781","3,873"
"Davenport-Moline-Rock Island, IA-IL",Estimate,"174,698","163,066","11,632"
"Davenport-Moline-Rock Island, IA-IL",Margin of Error,495,"1,891","1,940"
"Dayton-Kettering, OH",Estimate,"372,503","348,034","24,469"
"Dayton-Kettering, OH",Margin of Error,793,"2,949","2,787"
"Decatur, AL",Estimate,"69,252","62,616","6,636"
"Decatur, AL",Margin of Error,90,"1,678","1,698"
"Decatur, IL",Estimate,"49,623","43,718","5,905"
"Decatur, IL",Margin of Error,75,"1,383","1,396"
"Deltona-Daytona Beach-Ormond Beach, FL",Estimate,"342,998","296,235","46,763"
"Deltona-Daytona Beach-Ormond Beach, FL",Margin of Error,96,"4,020","4,042"
"Denver-Aurora-Lakewood, CO",Estimate,"1,291,034","1,223,825","67,209"
"Denver-Aurora-Lakewood, CO",Margin of Error,"1,658","5,542","5,696"
"Des Moines-West Des Moines, IA",Estimate,"315,087","297,060","18,027"
"Des Moines-West Des Moines, IA",Margin of Error,350,"2,734","2,758"
"Detroit-Warren-Dearborn, MI",Estimate,"1,916,090","1,762,104","153,986"
"Detroit-Warren-Dearborn, MI",Margin of Error,843,"6,310","6,567"
"Dothan, AL",Estimate,"72,065","60,106","11,959"
"Dothan, AL",Margin of Error,48,"1,595","1,601"
"Dover, DE",Estimate,"76,896","73,497","3,399"
"Dover, DE",Margin of Error,36,"1,096","1,099"
"Dubuque, IA",Estimate,"43,470","40,644","2,826"
"Dubuque, IA",Margin of Error,89,792,783
"Duluth, MN-WI",Estimate,"151,002","126,137","24,865"
"Duluth, MN-WI",Margin of Error,719,"1,765","1,745"
"Durham-Chapel Hill, NC",Estimate,"294,590","273,170","21,420"
"Durham-Chapel Hill, NC",Margin of Error,"1,077","3,520","3,214"
"East Stroudsburg, PA",Estimate,"79,663","58,034","21,629"
"East Stroudsburg, PA",Margin of Error,68,"2,309","2,300"
"Eau Claire, WI",Estimate,"75,873","72,293","3,580"
"Eau Claire, WI",Margin of Error,192,888,895
"El Centro, CA",Estimate,"57,654","50,877","6,777"
"El Centro, CA",Margin of Error,156,"1,590","1,596"
"Elizabethtown-Fort Knox, KY",Estimate,"67,816","62,918","4,898"
"Elizabethtown-Fort Knox, KY",Margin of Error,"1,524","1,944","1,255"
"Elkhart-Goshen, IN",Estimate,"80,537","74,362","6,175"
