MSA,Metric,Total,Occupied,Vacant
"Lynchburg, VA",Margin of Error,"1,042","2,674","2,441"
"Macon-Bibb County, GA",Estimate,"104,811","91,458","13,353"
"Macon-Bibb County, GA",Margin of Error,"1,173","2,447","2,348"
"Madera, CA",Estimate,"51,034","45,539","5,495"
"Madera, CA",Margin of Error,91,"1,460","1,475"
"Madison, WI",Estimate,"314,888","303,340","11,548"
"Madison, WI",Margin of Error,654,"1,923","1,871"
"Manchester-Nashua, NH",Estimate,"177,902","167,816","10,086"
"Manchester-Nashua, NH",Margin of Error,189,"2,074","2,037"
"Manhattan, KS",Estimate,"56,967","51,590","5,377"
"Manhattan, KS",Margin of Error,137,"1,331","1,359"
"Mankato, MN",Estimate,"43,421","41,242","2,179"
"Mankato, MN",Margin of Error,83,675,663
"Mansfield, OH",Estimate,"54,663","50,248","4,415"
"Mansfield, OH",Margin of Error,46,"1,192","1,199"
"Mayagüez, PR",Estimate,"52,012","38,332","13,680"
"Mayagüez, PR",Margin of Error,"1,431","1,741","1,555"
"McAllen-Edinburg-Mission, TX",Estimate,"308,396","270,891","37,505"
"McAllen-Edinburg-Mission, TX",Margin of Error,110,"3,257","3,279"
"Medford, OR",Estimate,"97,779","92,554","5,225"
"Medford, OR",Margin of Error,325,"1,719","1,681"
"Memphis, TN-MS-AR",Estimate,"574,616","518,924","55,692"
"Memphis, TN-MS-AR",Margin of Error,837,"4,036","4,051"
"Merced, CA",Estimate,"90,308","87,830","2,478"
"Merced, CA",Margin of Error,95,940,935
"Miami-Fort Lauderdale-Pompano Beach, FL",Estimate,"2,683,497","2,344,046","339,451"
"Miami-Fort Lauderdale-Pompano Beach, FL",Margin of Error,707,"11,034","11,180"
"Michigan City-La Porte, IN",Estimate,"49,929","43,213","6,716"
"Michigan City-La Porte, IN",Margin of Error,85,"1,485","1,481"
"Midland, MI",Estimate,"37,137","35,325","1,812"
"Midland, MI",Margin of Error,27,744,745
"Midland, TX",Estimate,"74,895","71,062","3,833"
"Midland, TX",Margin of Error,621,"1,545","1,561"
"Milwaukee-Waukesha, WI",Estimate,"697,624","654,547","43,077"
"Milwaukee-Waukesha, WI",Margin of Error,231,"4,077","4,054"
"Minneapolis-St. Paul-Bloomington, MN-WI",Estimate,"1,553,533","1,483,453","70,080"
"Minneapolis-St. Paul-Bloomington, MN-WI",Margin of Error,619,"5,444","5,455"
"Missoula, MT",Estimate,"57,264","53,358","3,906"
"Missoula, MT",Margin of Error,44,"1,014","1,019"
"Mobile, AL",Estimate,"194,071","168,967","25,104"
"Mobile, AL",Margin of Error,933,"2,913","3,053"
"Modesto, CA",Estimate,"184,680","177,101","7,579"
"Modesto, CA",Margin of Error,81,"1,829","1,843"
"Monroe, LA",Estimate,"93,696","82,655","11,041"
"Monroe, LA",Margin of Error,907,"1,771","1,876"
"Monroe, MI",Estimate,"66,681","62,946","3,735"
"Monroe, MI",Margin of Error,184,"1,272","1,273"
"Montgomery, AL",Estimate,"173,862","152,492","21,370"
"Montgomery, AL",Margin of Error,842,"2,773","2,630"
"Morgantown, WV",Estimate,"65,186","57,354","7,832"
"Morgantown, WV",Margin of Error,194,"1,761","1,734"
"Morristown, TN",Estimate,"65,621","59,553","6,068"
"Morristown, TN",Margin of Error,961,"1,547","1,529"
"Mount Vernon-Anacortes, WA",Estimate,"57,132","50,818","6,314"
"Mount Vernon-Anacortes, WA",Margin of Error,52,"1,187","1,191"
"Muncie, IN",Estimate,"51,632","47,478","4,154"
"Muncie, IN",Margin of Error,189,"1,334","1,327"
"Muskegon, MI",Estimate,"75,189","67,255","7,934"
"Muskegon, MI",Margin of Error,390,"1,466","1,560"
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Estimate,"315,439","231,614","83,825"
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Margin of Error,119,"4,487","4,504"
"Napa, CA",Estimate,"56,502","51,025","5,477"
"Napa, CA",Margin of Error,486,"1,521","1,432"
"Naples-Marco Island, FL",Estimate,"240,252","166,206","74,046"
"Naples-Marco Island, FL",Margin of Error,68,"5,167","5,186"
"Nashville-Davidson--Murfreesboro--Franklin, TN",Estimate,"889,476","831,347","58,129"
"Nashville-Davidson--Murfreesboro--Franklin, TN",Margin of Error,807,"5,522","5,507"
"New Bern, NC",Estimate,"59,954","51,749","8,205"
"New Bern, NC",Margin of Error,"1,209","1,950","1,535"
"New Haven-Milford, CT",Estimate,"370,031","345,632","24,399"
"New Haven-Milford, CT",Margin of Error,"2,681","4,131","3,709"
"New Orleans-Metairie, LA",Estimate,"580,426","499,885","80,541"
"New Orleans-Metairie, LA",Margin of Error,822,"4,092","3,942"
"New York-Newark-Jersey City, NY-NJ-PA",Estimate,"8,074,003","7,478,571","595,432"
"New York-Newark-Jersey City, NY-NJ-PA",Margin of Error,"1,485","16,701","16,814"
"Niles, MI",Estimate,"77,318","63,311","14,007"
"Niles, MI",Margin of Error,55,"1,670","1,682"
"North Port-Sarasota-Bradenton, FL",Estimate,"486,805","391,897","94,908"
"North Port-Sarasota-Bradenton, FL",Margin of Error,148,"5,369","5,396"
"Norwich-New London, CT",Estimate,"124,183","112,629","11,554"
"Norwich-New London, CT",Margin of Error,"1,553","2,449","2,219"
"Ocala, FL",Estimate,"187,971","163,513","24,458"
"Ocala, FL",Margin of Error,73,"3,539","3,543"
"Ocean City, NJ",Estimate,"99,408","48,563","50,845"
"Ocean City, NJ",Margin of Error,517,"2,222","2,489"
"Odessa, TX",Estimate,"69,260","63,738","5,522"
"Odessa, TX",Margin of Error,73,"1,536","1,543"
"Ogden-Clearfield, UT",Estimate,"248,254","235,531","12,723"
"Ogden-Clearfield, UT",Margin of Error,735,"2,479","2,439"
"Oklahoma City, OK",Estimate,"623,201","569,766","53,435"
"Oklahoma City, OK",Margin of Error,253,"4,630","4,635"
"Olympia-Lacey-Tumwater, WA",Estimate,"125,156","118,571","6,585"
"Olympia-Lacey-Tumwater, WA",Margin of Error,95,"1,965","1,983"
"Omaha-Council Bluffs, NE-IA",Estimate,"412,830","392,615","20,215"
"Omaha-Council Bluffs, NE-IA",Margin of Error,540,"2,318","2,334"
"Orlando-Kissimmee-Sanford, FL",Estimate,"1,146,572","1,054,342","92,230"
"Orlando-Kissimmee-Sanford, FL",Margin of Error,475,"6,758","6,661"
"Oshkosh-Neenah, WI",Estimate,"77,392","72,135","5,257"
"Oshkosh-Neenah, WI",Margin of Error,52,"1,313","1,320"
"Owensboro, KY",Estimate,"52,347","47,897","4,450"
"Owensboro, KY",Margin of Error,991,"1,549","1,258"
"Oxnard-Thousand Oaks-Ventura, CA",Estimate,"296,132","278,631","17,501"
"Oxnard-Thousand Oaks-Ventura, CA",Margin of Error,789,"2,515","2,717"
"Palm Bay-Melbourne-Titusville, FL",Estimate,"299,110","255,723","43,387"
"Palm Bay-Melbourne-Titusville, FL",Margin of Error,151,"4,374","4,382"
"Panama City, FL",Estimate,"108,667","79,044","29,623"
"Panama City, FL",Margin of Error,52,"3,270","3,281"
"Parkersburg-Vienna, WV",Estimate,"43,160","39,716","3,444"
"Parkersburg-Vienna, WV",Margin of Error,644,"1,126",950
"Pensacola-Ferry Pass-Brent, FL",Estimate,"229,844","207,329","22,515"
"Pensacola-Ferry Pass-Brent, FL",Margin of Error,416,"3,018","2,960"
"Peoria, IL",Estimate,"183,723","169,299","14,424"
"Peoria, IL",Margin of Error,439,"2,381","2,365"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Estimate,"2,634,290","2,483,863","150,427"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Margin of Error,"1,117","7,122","7,197"
"Phoenix-Mesa-Chandler, AZ",Estimate,"2,063,233","1,890,835","172,398"
"Phoenix-Mesa-Chandler, AZ",Margin of Error,493,"9,200","9,255"
"Pine Bluff, AR",Estimate,"38,552","30,449","8,103"
"Pine Bluff, AR",Margin of Error,657,"1,785","1,667"
"Pittsburgh, PA",Estimate,"1,134,144","1,021,314","112,830"
"Pittsburgh, PA",Margin of Error,519,"6,247","6,272"
"Pittsfield, MA",Estimate,"70,149","58,370","11,779"
"Pittsfield, MA",Margin of Error,63,"1,656","1,642"
"Pocatello, ID",Estimate,"39,734","37,564","2,170"
"Pocatello, ID",Margin of Error,755,"1,142",879
"Ponce, PR",Estimate,"103,109","83,805","19,304"
"Ponce, PR",Margin of Error,"1,782","2,356","1,985"
"Portland-South Portland, ME",Estimate,"287,630","242,440","45,190"
"Portland-South Portland, ME",Margin of Error,144,"3,345","3,386"
"Portland-Vancouver-Hillsboro, OR-WA",Estimate,"1,065,476","1,011,708","53,768"
"Portland-Vancouver-Hillsboro, OR-WA",Margin of Error,880,"5,125","5,091"
"Port St. Lucie, FL",Estimate,"243,535","201,086","42,449"
"Port St. Lucie, FL",Margin of Error,91,"4,304","4,315"
"Poughkeepsie-Newburgh-Middletown, NY",Estimate,"273,011","256,785","16,226"
"Poughkeepsie-Newburgh-Middletown, NY",Margin of Error,209,"2,555","2,537"
"Prescott Valley-Prescott, AZ",Estimate,"126,312","110,928","15,384"
"Prescott Valley-Prescott, AZ",Margin of Error,79,"2,223","2,238"
"Providence-Warwick, RI-MA",Estimate,"731,061","679,882","51,179"
"Providence-Warwick, RI-MA",Margin of Error,157,"4,353","4,377"
"Provo-Orem, UT",Estimate,"217,120","208,607","8,513"
"Provo-Orem, UT",Margin of Error,831,"1,864","1,857"
"Pueblo, CO",Estimate,"73,902","67,840","6,062"
"Pueblo, CO",Margin of Error,101,"1,250","1,241"
"Punta Gorda, FL",Estimate,"118,231","90,457","27,774"
"Punta Gorda, FL",Margin of Error,89,"3,906","3,924"
"Racine, WI",Estimate,"84,771","78,571","6,200"
"Racine, WI",Margin of Error,76,"1,725","1,740"
"Raleigh-Cary, NC",Estimate,"616,756","559,173","57,583"
"Raleigh-Cary, NC",Margin of Error,278,"5,605","5,643"
"Rapid City, SD",Estimate,"64,570","59,768","4,802"
"Rapid City, SD",Margin of Error,899,"1,676","1,417"
"Reading, PA",Estimate,"171,717","162,183","9,534"
"Reading, PA",Margin of Error,131,"1,895","1,905"
"Redding, CA",Estimate,"80,113","71,213","8,900"
"Redding, CA",Margin of Error,184,"2,016","2,042"
"Reno, NV",Estimate,"220,286","200,436","19,850"
"Reno, NV",Margin of Error,715,"3,049","2,919"
"Richmond, VA",Estimate,"570,484","538,478","32,006"
"Richmond, VA",Margin of Error,"2,604","3,916","3,560"
"Riverside-San Bernardino-Ontario, CA",Estimate,"1,610,097","1,443,666","166,431"
"Riverside-San Bernardino-Ontario, CA",Margin of Error,390,"6,784","6,777"
"Roanoke, VA",Estimate,"149,055","133,108","15,947"
"Roanoke, VA",Margin of Error,"1,075","2,640","2,749"
"Rochester, MN",Estimate,"99,383","95,252","4,131"
"Rochester, MN",Margin of Error,221,862,795
"Rochester, NY",Estimate,"493,397","456,391","37,006"
"Rochester, NY",Margin of Error,338,"3,797","3,886"
"Rockford, IL",Estimate,"145,273","134,011","11,262"
"Rockford, IL",Margin of Error,61,"2,323","2,339"
"Rocky Mount, NC",Estimate,"67,200","58,696","8,504"
"Rocky Mount, NC",Margin of Error,53,"1,815","1,808"
"Rome, GA",Estimate,"40,908","38,087","2,821"
"Rome, GA",Margin of Error,85,901,894
"Sacramento-Roseville-Folsom, CA",Estimate,"955,796","884,646","71,150"
"Sacramento-Roseville-Folsom, CA",Margin of Error,419,"4,571","4,707"
"Saginaw, MI",Estimate,"86,252","79,275","6,977"
"Saginaw, MI",Margin of Error,122,"1,475","1,477"
"St. Cloud, MN",Estimate,"84,227","78,630","5,597"
"St. Cloud, MN",Margin of Error,114,"1,087","1,089"
"St. George, UT",Estimate,"82,612","71,891","10,721"
"St. George, UT",Margin of Error,51,"2,011","2,003"
"St. Joseph, MO-KS",Estimate,"53,703","47,125","6,578"
"St. Joseph, MO-KS",Margin of Error,558,"1,245","1,173"
"St. Louis, MO-IL",Estimate,"1,272,892","1,168,546","104,346"
"St. Louis, MO-IL",Margin of Error,"1,185","6,790","6,526"
"Salem, OR",Estimate,"167,019","161,384","5,635"
"Salem, OR",Margin of Error,264,"1,483","1,483"
"Salinas, CA",Estimate,"145,232","132,411","12,821"
"Salinas, CA",Margin of Error,205,"1,743","1,754"
"Salisbury, MD-DE",Estimate,"264,066","179,028","85,038"
"Salisbury, MD-DE",Margin of Error,945,"3,370","3,457"
"Salt Lake City, UT",Estimate,"476,147","448,172","27,975"
"Salt Lake City, UT",Margin of Error,409,"3,386","3,413"
"San Angelo, TX",Estimate,"53,934","48,115","5,819"
"San Angelo, TX",Margin of Error,462,"1,561","1,541"
"San Antonio-New Braunfels, TX",Estimate,"1,057,291","972,848","84,443"
"San Antonio-New Braunfels, TX",Margin of Error,"1,173","6,099","6,059"
"San Diego-Chula Vista-Carlsbad, CA",Estimate,"1,247,279","1,172,343","74,936"
"San Diego-Chula Vista-Carlsbad, CA",Margin of Error,"1,020","5,008","5,044"
"San Francisco-Oakland-Berkeley, CA",Estimate,"1,877,839","1,739,127","138,712"
"San Francisco-Oakland-Berkeley, CA",Margin of Error,588,"7,953","8,018"
"San Germán, PR",Estimate,"67,406","47,510","19,896"
"San Germán, PR",Margin of Error,"1,692","2,622","2,144"
"San Jose-Sunnyvale-Santa Clara, CA",Estimate,"718,463","677,087","41,376"
"San Jose-Sunnyvale-Santa Clara, CA",Margin of Error,555,"4,110","4,155"
"San Juan-Bayamón-Caguas, PR",Estimate,"1,011,966","833,941","178,025"
"San Juan-Bayamón-Caguas, PR",Margin of Error,"5,389","7,157","6,185"
"San Luis Obispo-Paso Robles, CA",Estimate,"125,857","111,713","14,144"
"San Luis Obispo-Paso Robles, CA",Margin of Error,147,"2,284","2,289"
"Santa Cruz-Watsonville, CA",Estimate,"107,121","96,015","11,106"
"Santa Cruz-Watsonville, CA",Margin of Error,216,"2,038","2,004"
"Santa Fe, NM",Estimate,"78,688","72,302","6,386"
"Santa Fe, NM",Margin of Error,248,"1,409","1,390"
"Santa Maria-Santa Barbara, CA",Estimate,"160,910","150,851","10,059"
"Santa Maria-Santa Barbara, CA",Margin of Error,324,"1,781","1,680"
"Santa Rosa-Petaluma, CA",Estimate,"208,444","194,698","13,746"
"Santa Rosa-Petaluma, CA",Margin of Error,181,"2,077","2,079"
"Savannah, GA",Estimate,"182,418","163,204","19,214"
"Savannah, GA",Margin of Error,"1,094","2,805","2,391"
"Scranton--Wilkes-Barre, PA",Estimate,"264,372","235,346","29,026"
"Scranton--Wilkes-Barre, PA",Margin of Error,159,"3,104","3,122"
"Seattle-Tacoma-Bellevue, WA",Estimate,"1,709,710","1,611,580","98,130"
"Seattle-Tacoma-Bellevue, WA",Margin of Error,926,"7,587","7,713"
"Sebastian-Vero Beach, FL",Estimate,"86,507","72,199","14,308"
"Sebastian-Vero Beach, FL",Margin of Error,44,"2,603","2,606"
"Sebring-Avon Park, FL",Estimate,"58,591","47,706","10,885"
"Sebring-Avon Park, FL",Margin of Error,40,"1,598","1,603"
"Sheboygan, WI",Estimate,"52,796","50,534","2,262"
"Sheboygan, WI",Margin of Error,161,809,807
"Sherman-Denison, TX",Estimate,"61,105","54,309","6,796"
"Sherman-Denison, TX",Margin of Error,90,"1,346","1,356"
"Shreveport-Bossier City, LA",Estimate,"182,231","157,155","25,076"
"Shreveport-Bossier City, LA",Margin of Error,163,"3,207","3,203"
"Sierra Vista-Douglas, AZ",Estimate,"59,769","49,981","9,788"
"Sierra Vista-Douglas, AZ",Margin of Error,113,"1,743","1,728"
"Sioux City, IA-NE-SD",Estimate,"61,797","58,633","3,164"
"Sioux City, IA-NE-SD",Margin of Error,842,"1,099","1,002"
"Sioux Falls, SD",Estimate,"123,811","119,013","4,798"
"Sioux Falls, SD",Margin of Error,297,"1,274","1,224"
"South Bend-Mishawaka, IN-MI",Estimate,"144,190","127,381","16,809"
"South Bend-Mishawaka, IN-MI",Margin of Error,138,"2,042","2,054"
"Spartanburg, SC",Estimate,"144,735","133,018","11,717"
"Spartanburg, SC",Margin of Error,73,"2,554","2,544"
"Spokane-Spokane Valley, WA",Estimate,"254,250","240,227","14,023"
"Spokane-Spokane Valley, WA",Margin of Error,165,"2,383","2,373"
"Springfield, IL",Estimate,"98,518","86,964","11,554"
"Springfield, IL",Margin of Error,598,"2,181","2,128"
"Springfield, MA",Estimate,"298,951","277,761","21,190"
"Springfield, MA",Margin of Error,361,"2,927","2,967"
"Springfield, MO",Estimate,"212,378","199,835","12,543"
"Springfield, MO",Margin of Error,885,"2,283","2,169"
"Springfield, OH",Estimate,"61,154","56,033","5,121"
"Springfield, OH",Margin of Error,51,"1,274","1,277"
"State College, PA",Estimate,"66,483","60,457","6,026"
"State College, PA",Margin of Error,191,"1,506","1,492"
"Staunton, VA",Estimate,"54,532","50,966","3,566"
"Staunton, VA",Margin of Error,"1,274","1,697","1,065"
"Stockton, CA",Estimate,"259,492","241,903","17,589"
"Stockton, CA",Margin of Error,189,"2,784","2,758"
"Sumter, SC",Estimate,"63,708","53,824","9,884"
"Sumter, SC",Margin of Error,141,"1,930","1,932"
"Syracuse, NY",Estimate,"297,686","275,997","21,689"
"Syracuse, NY",Margin of Error,523,"2,223","2,253"
"Tallahassee, FL",Estimate,"178,552","156,383","22,169"
"Tallahassee, FL",Margin of Error,"1,509","2,511","2,421"
"Tampa-St. Petersburg-Clearwater, FL",Estimate,"1,512,833","1,329,075","183,758"
"Tampa-St. Petersburg-Clearwater, FL",Margin of Error,670,"7,238","7,218"
"Terre Haute, IN",Estimate,"81,934","73,268","8,666"
"Terre Haute, IN",Margin of Error,"1,235","1,930","1,741"
"Texarkana, TX-AR",Estimate,"65,654","55,624","10,030"
"Texarkana, TX-AR",Margin of Error,826,"1,693","1,765"
"The Villages, FL",Estimate,"84,239","71,378","12,861"
"The Villages, FL",Margin of Error,189,"2,887","2,871"
"Toledo, OH",Estimate,"305,392","277,534","27,858"
"Toledo, OH",Margin of Error,187,"2,377","2,399"
"Topeka, KS",Estimate,"105,441","98,367","7,074"
"Topeka, KS",Margin of Error,155,"1,347","1,345"
"Trenton-Princeton, NJ",Estimate,"150,703","144,989","5,714"
"Trenton-Princeton, NJ",Margin of Error,179,"1,647","1,633"
"Tucson, AZ",Estimate,"479,654","436,469","43,185"
"Tucson, AZ",Margin of Error,320,"4,503","4,543"
"Tulsa, OK",Estimate,"446,963","408,399","38,564"
"Tulsa, OK",Margin of Error,545,"2,002","1,940"
"Tuscaloosa, AL",Estimate,"125,576","106,516","19,060"
"Tuscaloosa, AL",Margin of Error,"1,417","2,479","2,540"
"Twin Falls, ID",Estimate,"45,294","43,679","1,615"
"Twin Falls, ID",Margin of Error,777,"1,204",739
"Tyler, TX",Estimate,"99,791","80,889","18,902"
"Tyler, TX",Margin of Error,51,"2,840","2,839"
"Urban Honolulu, HI",Estimate,"373,863","338,438","35,425"
"Urban Honolulu, HI",Margin of Error,304,"3,086","3,077"
"Utica-Rome, NY",Estimate,"138,026","123,639","14,387"
"Utica-Rome, NY",Margin of Error,339,"1,858","1,884"
"Valdosta, GA",Estimate,"66,209","57,838","8,371"
"Valdosta, GA",Margin of Error,"1,025","1,624","1,542"
"Vallejo, CA",Estimate,"164,666","159,294","5,372"
"Vallejo, CA",Margin of Error,102,"1,469","1,481"
"Victoria, TX",Estimate,"43,472","37,469","6,003"
"Victoria, TX",Margin of Error,"1,027","1,610","1,687"
"Vineland-Bridgeton, NJ",Estimate,"57,254","54,961","2,293"
"Vineland-Bridgeton, NJ",Margin of Error,784,"1,430",911
"Virginia Beach-Norfolk-Newport News, VA-NC",Estimate,"773,190","716,273","56,917"
"Virginia Beach-Norfolk-Newport News, VA-NC",Margin of Error,"2,592","4,850","4,609"
"Visalia, CA",Estimate,"154,181","143,129","11,052"
"Visalia, CA",Margin of Error,183,"2,031","2,045"
"Waco, TX",Estimate,"115,627","100,777","14,850"
"Waco, TX",Margin of Error,967,"2,461","2,471"
"Walla Walla, WA",Estimate,"25,418","23,389","2,029"
"Walla Walla, WA",Margin of Error,105,902,907
"Warner Robins, GA",Estimate,"83,467","74,524","8,943"
"Warner Robins, GA",Margin of Error,924,"2,244","2,141"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Estimate,"2,549,665","2,422,671","126,994"
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Margin of Error,"1,691","7,768","7,452"
"Waterloo-Cedar Falls, IA",Estimate,"74,998","69,878","5,120"
"Waterloo-Cedar Falls, IA",Margin of Error,110,"1,240","1,237"
"Watertown-Fort Drum, NY",Estimate,"61,850","46,815","15,035"
"Watertown-Fort Drum, NY",Margin of Error,158,"1,562","1,575"
"Wausau-Weston, WI",Estimate,"77,002","69,387","7,615"
"Wausau-Weston, WI",Margin of Error,134,"1,388","1,446"
"Weirton-Steubenville, WV-OH",Estimate,"56,202","49,583","6,619"
"Weirton-Steubenville, WV-OH",Margin of Error,"1,035","1,680","1,474"
"Wenatchee, WA",Estimate,"56,810","48,514","8,296"
"Wenatchee, WA",Margin of Error,46,"1,763","1,773"
"Wheeling, WV-OH",Estimate,"67,418","56,516","10,902"
"Wheeling, WV-OH",Margin of Error,56,"1,945","1,950"
"Wichita, KS",Estimate,"279,789","252,826","26,963"
"Wichita, KS",Margin of Error,281,"2,683","2,659"
"Wichita Falls, TX",Estimate,"64,871","57,968","6,903"
"Wichita Falls, TX",Margin of Error,301,"1,463","1,400"
"Williamsport, PA",Estimate,"52,684","46,774","5,910"
"Williamsport, PA",Margin of Error,96,"1,258","1,286"
"Wilmington, NC",Estimate,"151,928","130,017","21,911"
"Wilmington, NC",Margin of Error,155,"2,863","2,863"
"Winchester, VA-WV",Estimate,"60,574","55,012","5,562"
"Winchester, VA-WV",Margin of Error,"1,686","1,777","1,471"
"Winston-Salem, NC",Estimate,"309,986","278,269","31,717"
"Winston-Salem, NC",Margin of Error,931,"3,432","3,828"
"Worcester, MA-CT",Estimate,"405,342","385,088","20,254"
"Worcester, MA-CT",Margin of Error,"1,127","2,907","2,870"
"Yakima, WA",Estimate,"92,463","87,616","4,847"
"Yakima, WA",Margin of Error,108,"1,310","1,318"
"Yauco, PR",Estimate,"40,988","32,081","8,907"
"Yauco, PR",Margin of Error,"1,321","1,416","1,035"
"York-Hanover, PA",Estimate,"189,812","184,019","5,793"
"York-Hanover, PA",Margin of Error,133,"1,390","1,382"
"Youngstown-Warren-Boardman, OH-PA",Estimate,"253,409","229,685","23,724"
"Youngstown-Warren-Boardman, OH-PA",Margin of Error,171,"2,673","2,662"
"Yuba City, CA",Estimate,"65,577","63,162","2,415"
"Yuba City, CA",Margin of Error,60,886,885
"Yuma, AZ",Estimate,"95,448","80,857","14,591"
"Yuma, AZ",Margin of Error,136,"2,056","2,083"
