Month number,Year,Month,Vehicle type,Category,Value
2,2011,February,Commercial vehicles,Trailer - Semitrailers,1967
2,2011,February,Commercial vehicles,Trailer - Caravans,981
2,2011,February,Commercial vehicles,Export CV up to 6t,17280
2,2011,February,Commercial vehicles,Produktion CV up to 6t,21555
1,2011,January,Passenger cars,New registrations Total,211056
1,2011,January,Passenger cars,New registrations German makes incl. group makes,146310
1,2011,January,Passenger cars,New registrations Foreign makes,64746
1,2011,January,Passenger cars,Export,311577
1,2011,January,Passenger cars,Production,398078
1,2011,January,Commercial vehicles,New registrations Total,22841
1,2011,January,Commercial vehicles,New registrations Total CV up to 6t,16218
1,2011,January,Commercial vehicles,New registrations CV up to 2t,1525
1,2011,January,Commercial vehicles,"New registrations CV over 2 to 3,5t",14246
1,2011,January,Commercial vehicles,"New registrations CV over 3,5 to 6t",447
1,2011,January,Commercial vehicles,New registrations Total CV over 6t,6204
1,2011,January,Commercial vehicles,New registrations CV over 6 to 16t,1872
1,2011,January,Commercial vehicles,New registrations CV over 16t,4332
1,2011,January,Commercial vehicles,New registrations Total Buses,419
1,2011,January,Commercial vehicles,Trailer Total,12376
1,2011,January,Commercial vehicles,Trailer - Semitrailers,2282
1,2011,January,Commercial vehicles,Trailer - Caravans,395
1,2011,January,Commercial vehicles,Export CV up to 6t,13700
1,2011,January,Commercial vehicles,Produktion CV up to 6t,19977
7,2011,July,Passenger cars,New registrations Total,260907
7,2011,July,Passenger cars,New registrations German makes incl. group makes,189020
7,2011,July,Passenger cars,New registrations Foreign makes,71887
7,2011,July,Passenger cars,Export,359326
7,2011,July,Passenger cars,Production,462005
7,2011,July,Commercial vehicles,New registrations Total,27682
7,2011,July,Commercial vehicles,New registrations Total CV up to 6t,19726
7,2011,July,Commercial vehicles,New registrations CV up to 2t,1632
7,2011,July,Commercial vehicles,"New registrations CV over 2 to 3,5t",17488
7,2011,July,Commercial vehicles,"New registrations CV over 3,5 to 6t",606
7,2011,July,Commercial vehicles,New registrations Total CV over 6t,7594
7,2011,July,Commercial vehicles,New registrations CV over 6 to 16t,2497
7,2011,July,Commercial vehicles,New registrations CV over 16t,5097
7,2011,July,Commercial vehicles,New registrations Total Buses,362
7,2011,July,Commercial vehicles,Trailer Total,23472
7,2011,July,Commercial vehicles,Trailer - Semitrailers,2418
7,2011,July,Commercial vehicles,Trailer - Caravans,1809
7,2011,July,Commercial vehicles,Export CV up to 6t,16015
7,2011,July,Commercial vehicles,Produktion CV up to 6t,20441
6,2011,June,Passenger cars,New registrations Total,288382
6,2011,June,Passenger cars,New registrations German makes incl. group makes,207738
6,2011,June,Passenger cars,New registrations Foreign makes,80644
6,2011,June,Passenger cars,Export,340673
6,2011,June,Passenger cars,Production,456548
6,2011,June,Commercial vehicles,New registrations Total,26848
6,2011,June,Commercial vehicles,New registrations Total CV up to 6t,19481
6,2011,June,Commercial vehicles,New registrations CV up to 2t,1709
6,2011,June,Commercial vehicles,"New registrations CV over 2 to 3,5t",17192
6,2011,June,Commercial vehicles,"New registrations CV over 3,5 to 6t",580
6,2011,June,Commercial vehicles,New registrations Total CV over 6t,7090
6,2011,June,Commercial vehicles,New registrations CV over 6 to 16t,2392
6,2011,June,Commercial vehicles,New registrations CV over 16t,4698
6,2011,June,Commercial vehicles,New registrations Total Buses,277
6,2011,June,Commercial vehicles,Trailer Total,23959
6,2011,June,Commercial vehicles,Trailer - Semitrailers,2374
6,2011,June,Commercial vehicles,Trailer - Caravans,2195
6,2011,June,Commercial vehicles,Export CV up to 6t,13892
6,2011,June,Commercial vehicles,Produktion CV up to 6t,19651
3,2011,March,Passenger cars,New registrations Total,327921
3,2011,March,Passenger cars,New registrations German makes incl. group makes,226057
3,2011,March,Passenger cars,New registrations Foreign makes,101864
3,2011,March,Passenger cars,Export,440128
3,2011,March,Passenger cars,Production,583399
3,2011,March,Commercial vehicles,New registrations Total,30730
3,2011,March,Commercial vehicles,New registrations Total CV up to 6t,21383
3,2011,March,Commercial vehicles,New registrations CV up to 2t,1575
3,2011,March,Commercial vehicles,"New registrations CV over 2 to 3,5t",19174
3,2011,March,Commercial vehicles,"New registrations CV over 3,5 to 6t",634
3,2011,March,Commercial vehicles,New registrations Total CV over 6t,8975
3,2011,March,Commercial vehicles,New registrations CV over 6 to 16t,3006
3,2011,March,Commercial vehicles,New registrations CV over 16t,5969
3,2011,March,Commercial vehicles,New registrations Total Buses,372
3,2011,March,Commercial vehicles,Trailer Total,29791
3,2011,March,Commercial vehicles,Trailer - Semitrailers,2924
3,2011,March,Commercial vehicles,Trailer - Caravans,2219
3,2011,March,Commercial vehicles,Export CV up to 6t,17216
3,2011,March,Commercial vehicles,Produktion CV up to 6t,23891
5,2011,May,Passenger cars,New registrations Total,304543
5,2011,May,Passenger cars,New registrations German makes incl. group makes,218520
5,2011,May,Passenger cars,New registrations Foreign makes,86023
5,2011,May,Passenger cars,Export,420226
5,2011,May,Passenger cars,Production,563015
5,2011,May,Commercial vehicles,New registrations Total,30828
5,2011,May,Commercial vehicles,New registrations Total CV up to 6t,21943
5,2011,May,Commercial vehicles,New registrations CV up to 2t,1925
5,2011,May,Commercial vehicles,"New registrations CV over 2 to 3,5t",19379
5,2011,May,Commercial vehicles,"New registrations CV over 3,5 to 6t",639
5,2011,May,Commercial vehicles,New registrations Total CV over 6t,8442
5,2011,May,Commercial vehicles,New registrations CV over 6 to 16t,2705
5,2011,May,Commercial vehicles,New registrations CV over 16t,5737
5,2011,May,Commercial vehicles,New registrations Total Buses,443
5,2011,May,Commercial vehicles,Trailer Total,29217
5,2011,May,Commercial vehicles,Trailer - Semitrailers,2843
5,2011,May,Commercial vehicles,Trailer - Caravans,2856
5,2011,May,Commercial vehicles,Export CV up to 6t,17722
5,2011,May,Commercial vehicles,Produktion CV up to 6t,25242
11,2011,November,Passenger cars,New registrations Total,269144
11,2011,November,Passenger cars,New registrations German makes incl. group makes,193652
11,2011,November,Passenger cars,New registrations Foreign makes,75492
11,2011,November,Passenger cars,Export,415845
11,2011,November,Passenger cars,Production,546272
11,2011,November,Commercial vehicles,New registrations Total,32657
11,2011,November,Commercial vehicles,New registrations Total CV up to 6t,24486
11,2011,November,Commercial vehicles,New registrations CV up to 2t,1922
11,2011,November,Commercial vehicles,"New registrations CV over 2 to 3,5t",21853
11,2011,November,Commercial vehicles,"New registrations CV over 3,5 to 6t",711
11,2011,November,Commercial vehicles,New registrations Total CV over 6t,7661
11,2011,November,Commercial vehicles,New registrations CV over 6 to 16t,2307
11,2011,November,Commercial vehicles,New registrations CV over 16t,5354
11,2011,November,Commercial vehicles,New registrations Total Buses,510
11,2011,November,Commercial vehicles,Trailer Total,17906
11,2011,November,Commercial vehicles,Trailer - Semitrailers,2832
11,2011,November,Commercial vehicles,Trailer - Caravans,575
11,2011,November,Commercial vehicles,Export CV up to 6t,20467
11,2011,November,Commercial vehicles,Produktion CV up to 6t,29416
10,2011,October,Passenger cars,New registrations Total,258253
10,2011,October,Passenger cars,New registrations German makes incl. group makes,183694
10,2011,October,Passenger cars,New registrations Foreign makes,74559
10,2011,October,Passenger cars,Export,391642
10,2011,October,Passenger cars,Production,502897
10,2011,October,Commercial vehicles,New registrations Total,28611
10,2011,October,Commercial vehicles,New registrations Total CV up to 6t,21057
10,2011,October,Commercial vehicles,New registrations CV up to 2t,1500
10,2011,October,Commercial vehicles,"New registrations CV over 2 to 3,5t",18939
10,2011,October,Commercial vehicles,"New registrations CV over 3,5 to 6t",618
10,2011,October,Commercial vehicles,New registrations Total CV over 6t,7165
10,2011,October,Commercial vehicles,New registrations CV over 6 to 16t,2483
10,2011,October,Commercial vehicles,New registrations CV over 16t,4682
10,2011,October,Commercial vehicles,New registrations Total Buses,389
10,2011,October,Commercial vehicles,Trailer Total,19489
10,2011,October,Commercial vehicles,Trailer - Semitrailers,2620
10,2011,October,Commercial vehicles,Trailer - Caravans,802
10,2011,October,Commercial vehicles,Export CV up to 6t,16594
10,2011,October,Commercial vehicles,Produktion CV up to 6t,24456
9,2011,September,Passenger cars,New registrations Total,280689
9,2011,September,Passenger cars,New registrations German makes incl. group makes,200501
9,2011,September,Passenger cars,New registrations Foreign makes,80188
9,2011,September,Passenger cars,Export,422695
9,2011,September,Passenger cars,Production,562504
9,2011,September,Commercial vehicles,New registrations Total,28946
9,2011,September,Commercial vehicles,New registrations Total CV up to 6t,20036
9,2011,September,Commercial vehicles,New registrations CV up to 2t,1444
9,2011,September,Commercial vehicles,"New registrations CV over 2 to 3,5t",17972
9,2011,September,Commercial vehicles,"New registrations CV over 3,5 to 6t",620
9,2011,September,Commercial vehicles,New registrations Total CV over 6t,8446
9,2011,September,Commercial vehicles,New registrations CV over 6 to 16t,2705
9,2011,September,Commercial vehicles,New registrations CV over 16t,5741
9,2011,September,Commercial vehicles,New registrations Total Buses,464
9,2011,September,Commercial vehicles,Trailer Total,23182
9,2011,September,Commercial vehicles,Trailer - Semitrailers,2839
9,2011,September,Commercial vehicles,Trailer - Caravans,992
9,2011,September,Commercial vehicles,Export CV up to 6t,19228
9,2011,September,Commercial vehicles,Produktion CV up to 6t,27674
4,2012,April,Passenger cars,New registrations Total,274066
4,2012,April,Passenger cars,New registrations German makes incl. group makes,198007
4,2012,April,Passenger cars,New registrations Foreign makes,76059
4,2012,April,Passenger cars,Export,329455
4,2012,April,Passenger cars,Production,426321
4,2012,April,Commercial vehicles,New registrations Total,26163
4,2012,April,Commercial vehicles,New registrations Total CV up to 6t,17959
4,2012,April,Commercial vehicles,New registrations CV up to 2t,1179
4,2012,April,Commercial vehicles,"New registrations CV over 2 to 3,5t",16282
4,2012,April,Commercial vehicles,"New registrations CV over 3,5 to 6t",498
4,2012,April,Commercial vehicles,New registrations Total CV over 6t,7802
4,2012,April,Commercial vehicles,New registrations CV over 6 to 16t,2334
4,2012,April,Commercial vehicles,New registrations CV over 16t,5468
4,2012,April,Commercial vehicles,New registrations Total Buses,402
4,2012,April,Commercial vehicles,Trailer Total,26595
4,2012,April,Commercial vehicles,Trailer - Semitrailers,2573
4,2012,April,Commercial vehicles,Trailer - Caravans,2509
4,2012,April,Commercial vehicles,Export CV up to 6t,13181
4,2012,April,Commercial vehicles,Produktion CV up to 6t,17889
8,2012,August,Passenger cars,New registrations Total,226455
8,2012,August,Passenger cars,New registrations German makes incl. group makes,157610
8,2012,August,Passenger cars,New registrations Foreign makes,68845
8,2012,August,Passenger cars,Export,285734
8,2012,August,Passenger cars,Production,363254
8,2012,August,Commercial vehicles,New registrations Total,23858
8,2012,August,Commercial vehicles,New registrations Total CV up to 6t,17237
8,2012,August,Commercial vehicles,New registrations CV up to 2t,1106
8,2012,August,Commercial vehicles,"New registrations CV over 2 to 3,5t",15720
8,2012,August,Commercial vehicles,"New registrations CV over 3,5 to 6t",411
8,2012,August,Commercial vehicles,New registrations Total CV over 6t,6216
8,2012,August,Commercial vehicles,New registrations CV over 6 to 16t,2182
8,2012,August,Commercial vehicles,New registrations CV over 16t,4034
8,2012,August,Commercial vehicles,New registrations Total Buses,405
8,2012,August,Commercial vehicles,Trailer Total,22441
8,2012,August,Commercial vehicles,Trailer - Semitrailers,1990
8,2012,August,Commercial vehicles,Trailer - Caravans,1173
8,2012,August,Commercial vehicles,Export CV up to 6t,13475
8,2012,August,Commercial vehicles,Produktion CV up to 6t,19069
12,2012,December,Passenger cars,New registrations Total,204331
12,2012,December,Passenger cars,New registrations German makes incl. group makes,141280
12,2012,December,Passenger cars,New registrations Foreign makes,63051
12,2012,December,Passenger cars,Export,278613
12,2012,December,Passenger cars,Production,340499
12,2012,December,Commercial vehicles,New registrations Total,23224
12,2012,December,Commercial vehicles,New registrations Total CV up to 6t,17707
12,2012,December,Commercial vehicles,New registrations CV up to 2t,1174
12,2012,December,Commercial vehicles,"New registrations CV over 2 to 3,5t",16043
12,2012,December,Commercial vehicles,"New registrations CV over 3,5 to 6t",490
12,2012,December,Commercial vehicles,New registrations Total CV over 6t,4813
12,2012,December,Commercial vehicles,New registrations CV over 6 to 16t,1516
12,2012,December,Commercial vehicles,New registrations CV over 16t,3297
12,2012,December,Commercial vehicles,New registrations Total Buses,704
12,2012,December,Commercial vehicles,Trailer Total,9820
12,2012,December,Commercial vehicles,Trailer - Semitrailers,1280
12,2012,December,Commercial vehicles,Trailer - Caravans,458
12,2012,December,Commercial vehicles,Export CV up to 6t,10297
12,2012,December,Commercial vehicles,Produktion CV up to 6t,15496
2,2012,February,Passenger cars,New registrations Total,224318
2,2012,February,Passenger cars,New registrations German makes incl. group makes,157628
2,2012,February,Passenger cars,New registrations Foreign makes,66690
2,2012,February,Passenger cars,Export,395915
2,2012,February,Passenger cars,Production,508798
2,2012,February,Commercial vehicles,New registrations Total,21280
2,2012,February,Commercial vehicles,New registrations Total CV up to 6t,15720
2,2012,February,Commercial vehicles,New registrations CV up to 2t,1046
2,2012,February,Commercial vehicles,"New registrations CV over 2 to 3,5t",14187
2,2012,February,Commercial vehicles,"New registrations CV over 3,5 to 6t",487
2,2012,February,Commercial vehicles,New registrations Total CV over 6t,5283
2,2012,February,Commercial vehicles,New registrations CV over 6 to 16t,1740
2,2012,February,Commercial vehicles,New registrations CV over 16t,3543
2,2012,February,Commercial vehicles,New registrations Total Buses,277
2,2012,February,Commercial vehicles,Trailer Total,15058
2,2012,February,Commercial vehicles,Trailer - Semitrailers,2171
2,2012,February,Commercial vehicles,Trailer - Caravans,957
2,2012,February,Commercial vehicles,Export CV up to 6t,16560
2,2012,February,Commercial vehicles,Produktion CV up to 6t,21703
1,2012,January,Passenger cars,New registrations Total,210195
1,2012,January,Passenger cars,New registrations German makes incl. group makes,145321
1,2012,January,Passenger cars,New registrations Foreign makes,64874
1,2012,January,Passenger cars,Export,337572
1,2012,January,Passenger cars,Production,443510
1,2012,January,Commercial vehicles,New registrations Total,23558
1,2012,January,Commercial vehicles,New registrations Total CV up to 6t,17027
1,2012,January,Commercial vehicles,New registrations CV up to 2t,1243
1,2012,January,Commercial vehicles,"New registrations CV over 2 to 3,5t",15317
1,2012,January,Commercial vehicles,"New registrations CV over 3,5 to 6t",467
1,2012,January,Commercial vehicles,New registrations Total CV over 6t,6033
1,2012,January,Commercial vehicles,New registrations CV over 6 to 16t,1772
1,2012,January,Commercial vehicles,New registrations CV over 16t,4261
1,2012,January,Commercial vehicles,New registrations Total Buses,498
1,2012,January,Commercial vehicles,Trailer Total,13619
1,2012,January,Commercial vehicles,Trailer - Semitrailers,2249
1,2012,January,Commercial vehicles,Trailer - Caravans,536
1,2012,January,Commercial vehicles,Export CV up to 6t,15456
1,2012,January,Commercial vehicles,Produktion CV up to 6t,21618
7,2012,July,Passenger cars,New registrations Total,247860
7,2012,July,Passenger cars,New registrations German makes incl. group makes,177118
7,2012,July,Passenger cars,New registrations Foreign makes,70742
7,2012,July,Passenger cars,Export,361302
7,2012,July,Passenger cars,Production,460830
7,2012,July,Commercial vehicles,New registrations Total,26876
7,2012,July,Commercial vehicles,New registrations Total CV up to 6t,19575
7,2012,July,Commercial vehicles,New registrations CV up to 2t,1054
7,2012,July,Commercial vehicles,"New registrations CV over 2 to 3,5t",17993
7,2012,July,Commercial vehicles,"New registrations CV over 3,5 to 6t",528
7,2012,July,Commercial vehicles,New registrations Total CV over 6t,6943
7,2012,July,Commercial vehicles,New registrations CV over 6 to 16t,2194
7,2012,July,Commercial vehicles,New registrations CV over 16t,4749
7,2012,July,Commercial vehicles,New registrations Total Buses,358
7,2012,July,Commercial vehicles,Trailer Total,25266
7,2012,July,Commercial vehicles,Trailer - Semitrailers,2416
7,2012,July,Commercial vehicles,Trailer - Caravans,1894
7,2012,July,Commercial vehicles,Export CV up to 6t,14355
7,2012,July,Commercial vehicles,Produktion CV up to 6t,20078
6,2012,June,Passenger cars,New registrations Total,296722
6,2012,June,Passenger cars,New registrations German makes incl. group makes,209069
6,2012,June,Passenger cars,New registrations Foreign makes,87653
6,2012,June,Passenger cars,Export,349925
6,2012,June,Passenger cars,Production,463839
6,2012,June,Commercial vehicles,New registrations Total,29212
6,2012,June,Commercial vehicles,New registrations Total CV up to 6t,21755
6,2012,June,Commercial vehicles,New registrations CV up to 2t,1376
6,2012,June,Commercial vehicles,"New registrations CV over 2 to 3,5t",19846
6,2012,June,Commercial vehicles,"New registrations CV over 3,5 to 6t",533
6,2012,June,Commercial vehicles,New registrations Total CV over 6t,7072
6,2012,June,Commercial vehicles,New registrations CV over 6 to 16t,2258
6,2012,June,Commercial vehicles,New registrations CV over 16t,4814
6,2012,June,Commercial vehicles,New registrations Total Buses,385
6,2012,June,Commercial vehicles,Trailer Total,24794
6,2012,June,Commercial vehicles,Trailer - Semitrailers,2635
6,2012,June,Commercial vehicles,Trailer - Caravans,1846
6,2012,June,Commercial vehicles,Export CV up to 6t,15882
6,2012,June,Commercial vehicles,Produktion CV up to 6t,23178
3,2012,March,Passenger cars,New registrations Total,339123
3,2012,March,Passenger cars,New registrations German makes incl. group makes,231219
3,2012,March,Passenger cars,New registrations Foreign makes,107904
3,2012,March,Passenger cars,Export,403630
3,2012,March,Passenger cars,Production,546169
3,2012,March,Commercial vehicles,New registrations Total,30811
3,2012,March,Commercial vehicles,New registrations Total CV up to 6t,21211
3,2012,March,Commercial vehicles,New registrations CV up to 2t,1465
3,2012,March,Commercial vehicles,"New registrations CV over 2 to 3,5t",19084
3,2012,March,Commercial vehicles,"New registrations CV over 3,5 to 6t",662
3,2012,March,Commercial vehicles,New registrations Total CV over 6t,9144
3,2012,March,Commercial vehicles,New registrations CV over 6 to 16t,2800
3,2012,March,Commercial vehicles,New registrations CV over 16t,6344
3,2012,March,Commercial vehicles,New registrations Total Buses,456
3,2012,March,Commercial vehicles,Trailer Total,29767
3,2012,March,Commercial vehicles,Trailer - Semitrailers,2963
3,2012,March,Commercial vehicles,Trailer - Caravans,2871
3,2012,March,Commercial vehicles,Export CV up to 6t,17045
3,2012,March,Commercial vehicles,Produktion CV up to 6t,24872
5,2012,May,Passenger cars,New registrations Total,289977
5,2012,May,Passenger cars,New registrations German makes incl. group makes,209665
5,2012,May,Passenger cars,New registrations Foreign makes,80312
5,2012,May,Passenger cars,Export,337416
5,2012,May,Passenger cars,Production,448045
5,2012,May,Commercial vehicles,New registrations Total,26648
5,2012,May,Commercial vehicles,New registrations Total CV up to 6t,18907
5,2012,May,Commercial vehicles,New registrations CV up to 2t,1162
5,2012,May,Commercial vehicles,"New registrations CV over 2 to 3,5t",17184
5,2012,May,Commercial vehicles,"New registrations CV over 3,5 to 6t",561
5,2012,May,Commercial vehicles,New registrations Total CV over 6t,7350
5,2012,May,Commercial vehicles,New registrations CV over 6 to 16t,2406
5,2012,May,Commercial vehicles,New registrations CV over 16t,4944
5,2012,May,Commercial vehicles,New registrations Total Buses,391
5,2012,May,Commercial vehicles,Trailer Total,27729
5,2012,May,Commercial vehicles,Trailer - Semitrailers,2647
5,2012,May,Commercial vehicles,Trailer - Caravans,2909
5,2012,May,Commercial vehicles,Export CV up to 6t,15478
5,2012,May,Commercial vehicles,Produktion CV up to 6t,22248
11,2012,November,Passenger cars,New registrations Total,259846
11,2012,November,Passenger cars,New registrations German makes incl. group makes,191757
11,2012,November,Passenger cars,New registrations Foreign makes,68089
11,2012,November,Passenger cars,Export,367107
11,2012,November,Passenger cars,Production,482406
11,2012,November,Commercial vehicles,New registrations Total,28212
11,2012,November,Commercial vehicles,New registrations Total CV up to 6t,21288
11,2012,November,Commercial vehicles,New registrations CV up to 2t,1255
11,2012,November,Commercial vehicles,"New registrations CV over 2 to 3,5t",19395
11,2012,November,Commercial vehicles,"New registrations CV over 3,5 to 6t",638
11,2012,November,Commercial vehicles,New registrations Total CV over 6t,6347
11,2012,November,Commercial vehicles,New registrations CV over 6 to 16t,2275
11,2012,November,Commercial vehicles,New registrations CV over 16t,4072
11,2012,November,Commercial vehicles,New registrations Total Buses,577
11,2012,November,Commercial vehicles,Trailer Total,16403
11,2012,November,Commercial vehicles,Trailer - Semitrailers,2455
11,2012,November,Commercial vehicles,Trailer - Caravans,580
11,2012,November,Commercial vehicles,Export CV up to 6t,20785
11,2012,November,Commercial vehicles,Produktion CV up to 6t,24850
10,2012,October,Passenger cars,New registrations Total,259529
10,2012,October,Passenger cars,New registrations German makes incl. group makes,187507
10,2012,October,Passenger cars,New registrations Foreign makes,72022
10,2012,October,Passenger cars,Export,344963
10,2012,October,Passenger cars,Production,454716
10,2012,October,Commercial vehicles,New registrations Total,27518
10,2012,October,Commercial vehicles,New registrations Total CV up to 6t,20283
10,2012,October,Commercial vehicles,New registrations CV up to 2t,1142
10,2012,October,Commercial vehicles,"New registrations CV over 2 to 3,5t",18587
10,2012,October,Commercial vehicles,"New registrations CV over 3,5 to 6t",554
10,2012,October,Commercial vehicles,New registrations Total CV over 6t,6891
10,2012,October,Commercial vehicles,New registrations CV over 6 to 16t,2401
10,2012,October,Commercial vehicles,New registrations CV over 16t,4490
10,2012,October,Commercial vehicles,New registrations Total Buses,344
10,2012,October,Commercial vehicles,Trailer Total,21648
10,2012,October,Commercial vehicles,Trailer - Semitrailers,2441
10,2012,October,Commercial vehicles,Trailer - Caravans,927
10,2012,October,Commercial vehicles,Export CV up to 6t,19871
10,2012,October,Commercial vehicles,Produktion CV up to 6t,24434
9,2012,September,Passenger cars,New registrations Total,250082
9,2012,September,Passenger cars,New registrations German makes incl. group makes,176319
9,2012,September,Passenger cars,New registrations Foreign makes,73763
9,2012,September,Passenger cars,Export,339647
9,2012,September,Passenger cars,Production,450072
9,2012,September,Commercial vehicles,New registrations Total,24138
9,2012,September,Commercial vehicles,New registrations Total CV up to 6t,16990
9,2012,September,Commercial vehicles,New registrations CV up to 2t,901
9,2012,September,Commercial vehicles,"New registrations CV over 2 to 3,5t",15681
9,2012,September,Commercial vehicles,"New registrations CV over 3,5 to 6t",408
9,2012,September,Commercial vehicles,New registrations Total CV over 6t,6806
9,2012,September,Commercial vehicles,New registrations CV over 6 to 16t,2378
9,2012,September,Commercial vehicles,New registrations CV over 16t,4428
9,2012,September,Commercial vehicles,New registrations Total Buses,342
9,2012,September,Commercial vehicles,Trailer Total,19860
9,2012,September,Commercial vehicles,Trailer - Semitrailers,1973
9,2012,September,Commercial vehicles,Trailer - Caravans,951
9,2012,September,Commercial vehicles,Export CV up to 6t,17163
9,2012,September,Commercial vehicles,Produktion CV up to 6t,25366
4,2013,April,Passenger cars,New registrations Total,284444
4,2013,April,Passenger cars,New registrations German makes incl. group makes,206039
4,2013,April,Passenger cars,New registrations Foreign makes,78405
4,2013,April,Passenger cars,Export,374996
4,2013,April,Passenger cars,Production,502411
4,2013,April,Commercial vehicles,New registrations Total,27135
4,2013,April,Commercial vehicles,New registrations Total CV up to 6t,19090
4,2013,April,Commercial vehicles,New registrations CV up to 2t,1335
4,2013,April,Commercial vehicles,"New registrations CV over 2 to 3,5t",17273
4,2013,April,Commercial vehicles,"New registrations CV over 3,5 to 6t",482
4,2013,April,Commercial vehicles,New registrations Total CV over 6t,7538
4,2013,April,Commercial vehicles,New registrations CV over 6 to 16t,2181
4,2013,April,Commercial vehicles,New registrations CV over 16t,5357
4,2013,April,Commercial vehicles,New registrations Total Buses,507
4,2013,April,Commercial vehicles,Trailer Total,27746
4,2013,April,Commercial vehicles,Trailer - Semitrailers,2705
4,2013,April,Commercial vehicles,Trailer - Caravans,2552
4,2013,April,Commercial vehicles,Export CV up to 6t,15678
4,2013,April,Commercial vehicles,Produktion CV up to 6t,25375
8,2013,August,Passenger cars,New registrations Total,214044
8,2013,August,Passenger cars,New registrations German makes incl. group makes,150177
8,2013,August,Passenger cars,New registrations Foreign makes,63867
8,2013,August,Passenger cars,Export,305028
8,2013,August,Passenger cars,Production,394991
8,2013,August,Commercial vehicles,New registrations Total,21835
8,2013,August,Commercial vehicles,New registrations Total CV up to 6t,15547
8,2013,August,Commercial vehicles,New registrations CV up to 2t,1343
8,2013,August,Commercial vehicles,"New registrations CV over 2 to 3,5t",13799
8,2013,August,Commercial vehicles,"New registrations CV over 3,5 to 6t",405
8,2013,August,Commercial vehicles,New registrations Total CV over 6t,5866
8,2013,August,Commercial vehicles,New registrations CV over 6 to 16t,2051
8,2013,August,Commercial vehicles,New registrations CV over 16t,3815
8,2013,August,Commercial vehicles,New registrations Total Buses,422
8,2013,August,Commercial vehicles,Trailer Total,20239
8,2013,August,Commercial vehicles,Trailer - Semitrailers,2072
8,2013,August,Commercial vehicles,Trailer - Caravans,1189
8,2013,August,Commercial vehicles,Export CV up to 6t,15611
8,2013,August,Commercial vehicles,Produktion CV up to 6t,21898
12,2013,December,Passenger cars,New registrations Total,215320
12,2013,December,Passenger cars,New registrations German makes incl. group makes,154210
12,2013,December,Passenger cars,New registrations Foreign makes,61110
12,2013,December,Passenger cars,Export,283270
12,2013,December,Passenger cars,Production,353278
12,2013,December,Commercial vehicles,New registrations Total,29496
12,2013,December,Commercial vehicles,New registrations Total CV up to 6t,19195
12,2013,December,Commercial vehicles,New registrations CV up to 2t,1382
12,2013,December,Commercial vehicles,"New registrations CV over 2 to 3,5t",17078
12,2013,December,Commercial vehicles,"New registrations CV over 3,5 to 6t",735
12,2013,December,Commercial vehicles,New registrations Total CV over 6t,9214
12,2013,December,Commercial vehicles,New registrations CV over 6 to 16t,2945
12,2013,December,Commercial vehicles,New registrations CV over 16t,6269
12,2013,December,Commercial vehicles,New registrations Total Buses,1087
12,2013,December,Commercial vehicles,Trailer Total,11859
12,2013,December,Commercial vehicles,Trailer - Semitrailers,1483
12,2013,December,Commercial vehicles,Trailer - Caravans,381
12,2013,December,Commercial vehicles,Export CV up to 6t,15662
12,2013,December,Commercial vehicles,Produktion CV up to 6t,18448
2,2013,February,Passenger cars,New registrations Total,200683
2,2013,February,Passenger cars,New registrations German makes incl. group makes,140459
2,2013,February,Passenger cars,New registrations Foreign makes,60224
2,2013,February,Passenger cars,Export,355275
2,2013,February,Passenger cars,Production,459180
2,2013,February,Commercial vehicles,New registrations Total,18220
2,2013,February,Commercial vehicles,New registrations Total CV up to 6t,13131
2,2013,February,Commercial vehicles,New registrations CV up to 2t,858
2,2013,February,Commercial vehicles,"New registrations CV over 2 to 3,5t",11881
2,2013,February,Commercial vehicles,"New registrations CV over 3,5 to 6t",392
2,2013,February,Commercial vehicles,New registrations Total CV over 6t,4812
2,2013,February,Commercial vehicles,New registrations CV over 6 to 16t,1585
2,2013,February,Commercial vehicles,New registrations CV over 16t,3227
2,2013,February,Commercial vehicles,New registrations Total Buses,277
2,2013,February,Commercial vehicles,Trailer Total,14689
2,2013,February,Commercial vehicles,Trailer - Semitrailers,1883
2,2013,February,Commercial vehicles,Trailer - Caravans,869
2,2013,February,Commercial vehicles,Export CV up to 6t,17366
2,2013,February,Commercial vehicles,Produktion CV up to 6t,21021
1,2013,January,Passenger cars,New registrations Total,192090
1,2013,January,Passenger cars,New registrations German makes incl. group makes,137607
1,2013,January,Passenger cars,New registrations Foreign makes,54483
1,2013,January,Passenger cars,Export,310700
1,2013,January,Passenger cars,Production,397634
1,2013,January,Commercial vehicles,New registrations Total,19913
1,2013,January,Commercial vehicles,New registrations Total CV up to 6t,14687
1,2013,January,Commercial vehicles,New registrations CV up to 2t,1007
1,2013,January,Commercial vehicles,"New registrations CV over 2 to 3,5t",13253
1,2013,January,Commercial vehicles,"New registrations CV over 3,5 to 6t",427
1,2013,January,Commercial vehicles,New registrations Total CV over 6t,4804
1,2013,January,Commercial vehicles,New registrations CV over 6 to 16t,1479
1,2013,January,Commercial vehicles,New registrations CV over 16t,3325
1,2013,January,Commercial vehicles,New registrations Total Buses,422
1,2013,January,Commercial vehicles,Trailer Total,13423
1,2013,January,Commercial vehicles,Trailer - Semitrailers,1927
1,2013,January,Commercial vehicles,Trailer - Caravans,554
1,2013,January,Commercial vehicles,Export CV up to 6t,15978
